id,area
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
51,0
52,0
53,0
54,0
55,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
69,0
70,0
71,0
72,0
73,0
74,0
76,0
77,0
78,0
79,0
80,0
81,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
94,0
97,0
98,0
99,0
100,0
102,0
103,0
104,0
105,0
107,0
108,0
109,0
110,0
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,0
202,2
203,2
204,2
205,2
206,2
207,0
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
281,2
319,0
320,0
322,0
323,0
324,0
526,0
528,0
531,0
552,0
562,0
609,0
664,2
1190,1
1200,1
1201,1
2040,2
7001,0
7002,0
7003,0
7011,0
7012,0
7017,0
7023,0
7024,0
7039,0
7044,0
7049,0
7055,0
7057,0
7061,0
7062,0
7071,0
7130,1
7139,1
7166,1
9001,0
9002,0
9003,0
9004,0
9005,0
9006,0
9007,0
9012,0
9021,0
9022,0
9023,0
9024,0
9025,0
9026,0
9031,0
9032,0
9033,0
9034,0
9035,0
9036,0
9037,0
9038,0
9041,0
9042,0
9043,0
9044,0
9051,0
9052,0
9053,0
9054,0
9055,0
9071,0
9072,0
9121,0
9533,0
