from,to,r,x,b,tap
754,755,0.038,0.127,0.0316,0.0
961,975,0.0474,0.1563,0.0399,0.0
1038,1039,0.0132,0.0434,0.0111,0.0
518,520,0.0601,0.189,0.0472,0.0
217,218,0.018,0.0813,0.0216,0.0
506,509,0.00256,0.0094,0.00984,0.0
48,49,0.0179,0.0505,0.01258,0.0
797,798,0.0238,0.0997,0.106,0.0
20,21,0.0183,0.0849,0.0216,0.0
714,715,0.00459,0.0208,0.0055,0.0
450,451,0.0173,0.0885,0.024,0.0
434,451,0.0183,0.0934,0.0254,0.0
431,434,0.0294,0.105,0.0228,0.0
772,769,0.0,0.0268,0.0,0.985
29,31,0.0108,0.0331,0.0083,0.0
534,539,0.0258,0.117,0.031,0.0
