id,type,pd,qd,bs,area,vmag,vang
754,2,28,10,10,7,1.005,18.49
755,1,34,0,0,7,1.017,20.73
961,1,11,3,0,9,0.995,13.74
975,2,43,27,0,9,0.967,12.75
1038,1,30,16,0,9,0.991,28.64
1039,1,42,31,0,9,0.981,27.67
518,2,28,10,10,5,1.005,18.49
520,1,20,11,15,5,1.021,19.93
217,2,42,0,0,2,1.01,27.04
218,2,37,18,0,2,1.017,28.03
506,2,59,26,14,5,0.986,11.3
509,1,0,0,-25,5,0.992,11.77
48,1,20,11,15,1,1.021,19.93
49,2,87,30,0,1,1.025,20.94
797,2,0,0,0,7,1.005,39.69
798,2,163,42,0,7,0.985,33.29
20,1,18,3,0,1,0.958,11.93
21,1,14,8,0,1,0.959,13.52
714,2,52,22,0,7,0.99,13.0
715,1,19,2,0,7,0.989,12.56
450,1,38,15,0,4,0.993,27.51
451,1,15,9,0,4,1.011,27.88
434,2,130,26,0,4,1.04,28.96
431,2,61,28,0,4,1.006,26.72
769,2,0,0,0,7,0.995,24.04
772,1,0,0,0,7,0.984,24.52
29,1,24,4,0,1,0.963,12.63
31,2,43,27,0,1,0.967,12.75
534,2,77,14,0,5,0.998,23.43
539,1,28,7,0,5,1.02,24.84
