from,to,r,x,b,tap
86,87,0.02828,0.2074,0.0445,1.0
248,252,0.0212,0.0834,0.0214,0.0
377,386,0.0317,0.1153,0.1173,0.0
743,744,0.00224,0.0102,0.00268,0.0
133,137,0.012,0.0394,0.0101,0.0
403,420,0.018,0.0919,0.0248,0.0
307,308,0.0446,0.18,0.04444,0.0
859,863,0.0415,0.142,0.0366,0.0
1047,1049,0.0535,0.1625,0.0408,0.0
49,69,0.0985,0.324,0.0828,0.0
265,267,0.0108,0.0331,0.0083,0.0
388,390,0.00871,0.0268,0.00568,0.0
577,579,0.053,0.183,0.0472,0.0
541,547,0.0405,0.122,0.124,0.0
443,444,0.0518,0.188,0.0528,0.0
64,65,0.00269,0.0302,0.38,0.0
564,574,0.0123,0.0559,0.01464,0.0
770,774,0.0482,0.218,0.0578,0.0
506,515,0.0413,0.1681,0.04226,0.0
882,885,0.0803,0.239,0.0536,0.0
183,186,0.00138,0.016,0.638,0.0
359,365,0.0203,0.0682,0.01738,0.0
210,212,0.0481,0.158,0.0406,0.0
492,493,0.0183,0.0849,0.0216,0.0
35,37,0.011,0.0497,0.01318,0.0
306,310,0.0401,0.1323,0.03368,0.0
998,1000,0.00275,0.00955,0.00732,0.0
94,95,0.0132,0.0434,0.0111,0.0
89,92,0.0099,0.0505,0.0548,0.0
430,472,0.0164,0.0544,0.01356,0.0
785,788,0.0294,0.105,0.0228,0.0
186,199,0.00175,0.0202,0.808,0.0
742,744,0.00871,0.0268,0.00568,0.0
992,993,0.0179,0.0505,0.01258,0.0
98,100,0.0397,0.179,0.0476,0.0
305,313,0.0309,0.101,0.1038,0.0
931,932,0.014,0.0547,0.01434,0.0
178,179,0.00264,0.0135,0.01456,0.0
813,815,0.053,0.183,0.0472,0.0
783,785,0.0601,0.1999,0.04978,0.0
131,133,0.0744,0.2444,0.06268,0.0
948,949,0.00176,0.00798,0.0021,0.0
77,80,0.017,0.0485,0.0472,0.0
527,528,0.00488,0.0151,0.00374,0.0
827,829,0.0129,0.0424,0.01082,0.0
357,359,0.0241,0.108,0.0284,0.0
660,665,0.0428,0.141,0.036,0.0
947,949,0.0241,0.108,0.0284,0.0
498,502,0.00799,0.086,0.908,0.0
926,932,0.0605,0.229,0.062,0.0
169,176,0.0255,0.0719,0.01788,0.0
32,114,0.0135,0.0612,0.01628,0.0
754,756,0.0601,0.189,0.0472,0.0
494,495,0.0342,0.159,0.0404,0.0
770,775,0.0258,0.117,0.031,0.0
27,115,0.0164,0.0741,0.01972,0.0
880,885,0.0503,0.2293,0.0598,0.0
1036,1044,0.0648,0.295,0.0472,0.0
598,595,0.0,0.0267,0.0,0.985
121,123,0.0241,0.108,0.0284,0.0
12,117,0.0329,0.14,0.0358,0.0
1044,1048,0.0451,0.204,0.0541,0.0
283,285,0.0191,0.0625,0.01604,0.0
1034,1035,0.0254,0.0836,0.0214,0.0
